State;StateAbbr;Category;JurisNameSimple;Jurisdiction;Assistance to Households: Rent, Rental Arrears, Utilities Paid (Excludes Housing Stability/Admin Costs) (January 2021 - June 2022) ($ 2);Assistance to Households Expenditure Ratio as of June 30, 20225;Households Assisted 3 (January 2021 - June 2022);"Total ERA 1 Allocation, Award, and Disbursement 
$ Millions4"
Wyoming;WY;State/DC;State of Wyoming;State of Wyoming;14649150;50%;5935;32452091
Guam;GU;Total;Guam;Guam;18783775;;4536;26387754.8
Guam;GU;Other Total;Territorial Government;Territorial Government;18783775;;4536;26387754.8
Guam;GU;Other;Government of Guam;Government of Guam;18783775;79%;4536;26387754.8
Northern Mariana Islands;CM;Total;Northern Mariana Islands;Northern Mariana Islands;0;;0;10400669.3
Northern Mariana Islands;CM;Other Total;Territorial Government;Territorial Government;0;;0;10400669.3
Northern Mariana Islands;CM;Other;Northern Mariana Islands;Northern Mariana Islands;0;0%;0;10400669.3
United States Virgin Islands;VI;Total;United States Virgin Islands;United States Virgin Islands;2451782;;326;4932927.71
United States Virgin Islands;VI;Other Total;Territorial Government;Territorial Government;2451782;;326;4932927.71
United States Virgin Islands;VI;Other;Government of the United States Virgin Islands;Government of the United States Virgin Islands;2451782;55%;326;4932927.71
American Samoa;AS;Total;American Samoa;American Samoa;1659308;;672;3477165.19
American Samoa;AS;Other Total;Territorial Government;Territorial Government;1659308;;672;3477165.19
American Samoa;AS;Other;Government of American Samoa;Government of American Samoa;1659308;53%;672;3477165.19
1Based on responses by states, local governments, and U.S. territories to the ERA1 Quarterly Q1 2021 (through March 31), Monthly April 2021, Monthly May 2021, Monthly June 2021, Monthly July 2021, Monthly August 2021, Monthly September 2021, Monthly October 2021, Monthly November 2021, Monthly December 2021, Monthly January 2022, Monthly February 2022, March 2022, April 2022, May 2022, and June 2022 reports obtained via Salesforce extract on August 8, 2022. Data from Tribes are reported in aggregate in the ERA1 Summary tab.;;;;;;;;
2The total dollar amount of ERA award funds paid under the subject ERA Project to or for participant households including payments for rent, rental arrears, utility/home energy costs, utility/home energy arrears, and other housing services and eligible expenses. This does not include funds paid for Housing Stability Services.;;;;;;;;
3The number of unique participant households whose rent, rental arrears, utility/home energy payments, utility/home energy arrears, or other expenses related to housing were fully or partially paid under the subject ERA Project. ;;;;;;;;
4Total amount of assistance allocated, awarded, and disbursed to the grantee by US Department of Treasury under the ERA1 program. Includes award amounts reallocated pursuant to the Consolidated Appropriations Act, 2021, where applicable, as of June 30, 2022. Please see the following links for reallocation details by recipient. For amounts funded by the required return of funds, please see https://home.treasury.gov/system/files/136/ERA-Reallocation-Round-1.pdf. For amounts voluntarily reallocated, please see https://home.treasury.gov/system/files/136/ERA1-Voluntary-Reallocation.pdf.;;;;;;;;
5Calculated as the sum of Q1 2021, April 2021, May 2021, June 2021, July 2021, August 2021, September 2021, October 2021, November 2021, December 2021, January 2022, February 2022, March 2022, April 2022, May 2022, and June 2022 expenditure for assistance to households divided by 90% of the ERA1 award amount, including redirects and reallocations.;;;;;;;;
6June 2022 is the final monthly reporting period for ERA1.;;;;;;;;
